# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.0.0 Build 200 06/17/2014 SJ Web Edition
# File: D:\Dropbox\FPGAs\Altera\DE2i\Terasic_CD_Support\DE2i-150_v.2.1.2_SystemCD\Demonstrations\FPGA\DE2i_150_Gsensor\DE2i_150_Gsensor.csv
# Generated on: Thu Oct 16 17:21:06 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
HSMC_RX_D_N[15],Bidir,PIN_AD28,5,B5_N1,PIN_AD28,2.5 V,,,,
HSMC_RX_D_N[14],Bidir,PIN_AA29,5,B5_N1,PIN_AA29,2.5 V,,,,
HSMC_RX_D_N[13],Bidir,PIN_Y27,5,B5_N2,PIN_Y27,2.5 V,,,,
HSMC_RX_D_N[12],Bidir,PIN_M30,6,B6_N2,PIN_M30,2.5 V,,,,
HSMC_RX_D_N[11],Bidir,PIN_W30,5,B5_N0,PIN_W30,2.5 V,,,,
HSMC_RX_D_N[10],Bidir,PIN_W28,5,B5_N0,PIN_W28,2.5 V,,,,
HSMC_RX_D_N[9],Bidir,PIN_U28,5,B5_N0,PIN_U28,2.5 V,,,,
HSMC_RX_D_N[8],Bidir,PIN_R28,6,B6_N2,PIN_R28,2.5 V,,,,
HSMC_RX_D_N[7],Bidir,PIN_P28,6,B6_N2,PIN_P28,2.5 V,,,,
HSMC_RX_D_N[6],Bidir,PIN_N30,6,B6_N2,PIN_N30,2.5 V,,,,
HSMC_RX_D_N[5],Bidir,PIN_M28,6,B6_N1,PIN_M28,2.5 V,,,,
HSMC_RX_D_N[4],Bidir,PIN_L28,6,B6_N1,PIN_L28,2.5 V,,,,
HSMC_RX_D_N[3],Bidir,PIN_K29,6,B6_N1,PIN_K29,2.5 V,,,,
HSMC_RX_D_N[2],Bidir,PIN_H27,6,B6_N0,PIN_H27,2.5 V,,,,
HSMC_RX_D_N[1],Bidir,PIN_G29,6,B6_N1,PIN_G29,2.5 V,,,,
HSMC_RX_D_N[0],Bidir,PIN_G27,6,B6_N0,PIN_G27,2.5 V,,,,
HSMC_RX_D_P[16],Bidir,PIN_AE27,5,B5_N2,PIN_AE27,2.5 V,,,,
HSMC_RX_D_P[15],Bidir,PIN_AD27,5,B5_N1,PIN_AD27,2.5 V,,,,
HSMC_RX_D_P[14],Bidir,PIN_AB29,5,B5_N1,PIN_AB29,2.5 V,,,,
HSMC_RX_D_P[13],Bidir,PIN_AA27,5,B5_N2,PIN_AA27,2.5 V,,,,
HSMC_RX_D_P[12],Bidir,PIN_M29,6,B6_N2,PIN_M29,2.5 V,,,,
HSMC_RX_D_P[11],Bidir,PIN_W29,5,B5_N0,PIN_W29,2.5 V,,,,
HSMC_RX_D_P[10],Bidir,PIN_W27,5,B5_N0,PIN_W27,2.5 V,,,,
HSMC_RX_D_P[9],Bidir,PIN_U27,5,B5_N0,PIN_U27,2.5 V,,,,
HSMC_RX_D_P[8],Bidir,PIN_R27,6,B6_N2,PIN_R27,2.5 V,,,,
HSMC_RX_D_P[7],Bidir,PIN_P27,6,B6_N2,PIN_P27,2.5 V,,,,
HSMC_RX_D_P[6],Bidir,PIN_N29,6,B6_N2,PIN_N29,2.5 V,,,,
HSMC_RX_D_P[5],Bidir,PIN_M27,6,B6_N1,PIN_M27,2.5 V,,,,
HSMC_RX_D_P[4],Bidir,PIN_L27,6,B6_N1,PIN_L27,2.5 V,,,,
HSMC_RX_D_P[3],Bidir,PIN_K28,6,B6_N1,PIN_K28,2.5 V,,,,
HSMC_RX_D_P[2],Bidir,PIN_J27,6,B6_N0,PIN_J27,2.5 V,,,,
HSMC_RX_D_P[1],Bidir,PIN_G28,6,B6_N1,PIN_G28,2.5 V,,,,
HSMC_RX_D_P[0],Bidir,PIN_G26,6,B6_N0,PIN_G26,2.5 V,,,,
HSMC_TX_D_N[16],Bidir,PIN_AG29,5,B5_N2,PIN_AG29,2.5 V,,,,
HSMC_TX_D_N[15],Bidir,PIN_AH30,5,B5_N2,PIN_AH30,2.5 V,,,,
HSMC_TX_D_N[14],Bidir,PIN_AE30,5,B5_N1,PIN_AE30,2.5 V,,,,
HSMC_TX_D_N[13],Bidir,PIN_AD30,5,B5_N1,PIN_AD30,2.5 V,,,,
HSMC_TX_D_N[12],Bidir,PIN_AC28,5,B5_N1,PIN_AC28,2.5 V,,,,
HSMC_TX_D_N[11],Bidir,PIN_Y30,5,B5_N1,PIN_Y30,2.5 V,,,,
HSMC_TX_D_N[10],Bidir,PIN_V26,5,B5_N0,PIN_V26,2.5 V,,,,
HSMC_TX_D_N[9],Bidir,PIN_N28,6,B6_N2,PIN_N28,2.5 V,,,,
HSMC_TX_D_N[8],Bidir,PIN_T25,5,B5_N0,PIN_T25,2.5 V,,,,
HSMC_TX_D_N[7],Bidir,PIN_K30,6,B6_N1,PIN_K30,2.5 V,,,,
HSMC_TX_D_N[6],Bidir,PIN_K27,6,B6_N1,PIN_K27,2.5 V,,,,
HSMC_TX_D_N[5],Bidir,PIN_J30,6,B6_N1,PIN_J30,2.5 V,,,,
HSMC_TX_D_N[4],Bidir,PIN_G30,6,B6_N1,PIN_G30,2.5 V,,,,
HSMC_TX_D_N[3],Bidir,PIN_E30,6,B6_N1,PIN_E30,2.5 V,,,,
HSMC_TX_D_N[2],Bidir,PIN_D30,6,B6_N1,PIN_D30,2.5 V,,,,
HSMC_TX_D_N[1],Bidir,PIN_F29,6,B6_N0,PIN_F29,2.5 V,,,,
HSMC_TX_D_N[0],Bidir,PIN_H28,6,B6_N0,PIN_H28,2.5 V,,,,
HSMC_TX_D_P[16],Bidir,PIN_AH29,5,B5_N2,PIN_AH29,2.5 V,,,,
HSMC_TX_D_P[15],Bidir,PIN_AJ30,5,B5_N2,PIN_AJ30,2.5 V,,,,
HSMC_TX_D_P[14],Bidir,PIN_AE29,5,B5_N1,PIN_AE29,2.5 V,,,,
HSMC_TX_D_P[13],Bidir,PIN_AD29,5,B5_N1,PIN_AD29,2.5 V,,,,
HSMC_TX_D_P[12],Bidir,PIN_AC27,5,B5_N1,PIN_AC27,2.5 V,,,,
HSMC_TX_D_P[11],Bidir,PIN_AA30,5,B5_N1,PIN_AA30,2.5 V,,,,
HSMC_TX_D_P[10],Bidir,PIN_V25,5,B5_N0,PIN_V25,2.5 V,,,,
HSMC_TX_D_P[9],Bidir,PIN_N27,6,B6_N2,PIN_N27,2.5 V,,,,
HSMC_TX_D_P[8],Bidir,PIN_U25,5,B5_N0,PIN_U25,2.5 V,,,,
HSMC_TX_D_P[7],Bidir,PIN_L30,6,B6_N1,PIN_L30,2.5 V,,,,
HSMC_TX_D_P[6],Bidir,PIN_K26,6,B6_N1,PIN_K26,2.5 V,,,,
HSMC_TX_D_P[5],Bidir,PIN_J29,6,B6_N1,PIN_J29,2.5 V,,,,
HSMC_TX_D_P[4],Bidir,PIN_H30,6,B6_N1,PIN_H30,2.5 V,,,,
HSMC_TX_D_P[3],Bidir,PIN_F30,6,B6_N1,PIN_F30,2.5 V,,,,
HSMC_TX_D_P[2],Bidir,PIN_D29,6,B6_N1,PIN_D29,2.5 V,,,,
HSMC_TX_D_P[1],Bidir,PIN_F28,6,B6_N0,PIN_F28,2.5 V,,,,
HSMC_TX_D_P[0],Bidir,PIN_J28,6,B6_N0,PIN_J28,2.5 V,,,,
I2C_SCLK,Output,PIN_C27,7,B7_N0,PIN_C27,3.3-V LVTTL,,,,
I2C_SDAT,Bidir,PIN_G21,7,B7_N0,PIN_G21,3.3-V LVTTL,,,,
IRDA_RXD,Input,PIN_AH28,4,B4_N0,PIN_AH28,3.3-V LVTTL,,,,
KEY[3],Input,PIN_AE26,5,B5_N2,PIN_AE26,2.5 V,,,,
KEY[2],Input,PIN_AF30,5,B5_N2,PIN_AF30,2.5 V,,,,
KEY[1],Input,PIN_AE25,5,B5_N2,PIN_AE25,2.5 V,,,,
KEY[0],Input,PIN_AA26,5,B5_N2,PIN_AA26,2.5 V,,,,
LCD_DATA[7],Bidir,PIN_AE4,3,B3_N2,PIN_AE4,3.3-V LVTTL,,,,
LCD_DATA[6],Bidir,PIN_AH4,3,B3_N2,PIN_AH4,3.3-V LVTTL,,,,
LCD_DATA[5],Bidir,PIN_AE3,3,B3_N2,PIN_AE3,3.3-V LVTTL,,,,
LCD_DATA[4],Bidir,PIN_AH2,3,B3_N2,PIN_AH2,3.3-V LVTTL,,,,
LCD_DATA[3],Bidir,PIN_AE5,3,B3_N2,PIN_AE5,3.3-V LVTTL,,,,
LCD_DATA[2],Bidir,PIN_AH3,3,B3_N2,PIN_AH3,3.3-V LVTTL,,,,
LCD_DATA[1],Bidir,PIN_AF3,3,B3_N2,PIN_AF3,3.3-V LVTTL,,,,
LCD_DATA[0],Bidir,PIN_AG4,3,B3_N2,PIN_AG4,3.3-V LVTTL,,,,
LCD_EN,Output,PIN_AF4,3,B3_N2,PIN_AF4,3.3-V LVTTL,,,,
LCD_ON,Output,PIN_AF27,5,B5_N2,PIN_AF27,2.5 V,,,,
LCD_RS,Output,PIN_AG3,3,B3_N2,PIN_AG3,3.3-V LVTTL,,,,
LCD_RW,Output,PIN_AJ3,3,B3_N2,PIN_AJ3,3.3-V LVTTL,,,,
LEDG[8],Output,PIN_J25,6,B6_N0,PIN_J25,2.5 V,,,,
LEDG[7],Output,PIN_AA22,5,B5_N1,PIN_AA22,2.5 V,,,,
LEDG[6],Output,PIN_Y25,5,B5_N2,PIN_Y25,2.5 V,,,,
LEDG[5],Output,PIN_Y22,5,B5_N1,PIN_Y22,2.5 V,,,,
LEDG[4],Output,PIN_W26,5,B5_N0,PIN_W26,2.5 V,,,,
LEDG[3],Output,PIN_F26,6,B6_N0,PIN_F26,2.5 V,,,,
LEDG[2],Output,PIN_F27,6,B6_N0,PIN_F27,2.5 V,,,,
LEDG[1],Output,PIN_AB25,5,B5_N2,PIN_AB25,2.5 V,,,,
LEDG[0],Output,PIN_AA25,5,B5_N2,PIN_AA25,2.5 V,,,,
LEDR[17],Output,PIN_M22,6,B6_N1,PIN_M22,2.5 V,,,,
LEDR[16],Output,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,
LEDR[15],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,
LEDR[14],Output,PIN_K24,6,B6_N0,PIN_K24,2.5 V,,,,
LEDR[13],Output,PIN_M25,6,B6_N2,PIN_M25,2.5 V,,,,
LEDR[12],Output,PIN_N21,6,B6_N1,PIN_N21,2.5 V,,,,
LEDR[11],Output,PIN_N24,6,B6_N2,PIN_N24,2.5 V,,,,
LEDR[10],Output,PIN_P21,6,B6_N1,PIN_P21,2.5 V,,,,
LEDR[9],Output,PIN_R24,6,B6_N2,PIN_R24,2.5 V,,,,
LEDR[8],Output,PIN_P25,6,B6_N2,PIN_P25,2.5 V,,,,
LEDR[7],Output,PIN_T27,5,B5_N0,PIN_T27,2.5 V,,,,
LEDR[6],Output,PIN_R25,6,B6_N2,PIN_R25,2.5 V,,,,
LEDR[5],Output,PIN_T26,5,B5_N0,PIN_T26,2.5 V,,,,
LEDR[4],Output,PIN_T21,5,B5_N1,PIN_T21,2.5 V,,,,
LEDR[3],Output,PIN_W25,5,B5_N0,PIN_W25,2.5 V,,,,
LEDR[2],Output,PIN_V27,5,B5_N0,PIN_V27,2.5 V,,,,
LEDR[1],Output,PIN_T24,5,B5_N0,PIN_T24,2.5 V,,,,
LEDR[0],Output,PIN_T23,5,B5_N0,PIN_T23,2.5 V,,,,
SD_CLK,Output,PIN_AH25,4,B4_N0,PIN_AH25,3.3-V LVTTL,,,,
SD_CMD,Bidir,PIN_AF18,4,B4_N2,PIN_AF18,3.3-V LVTTL,,,,
SD_DAT[3],Bidir,PIN_AE18,4,B4_N2,PIN_AE18,3.3-V LVTTL,,,,
SD_DAT[2],Bidir,PIN_AD24,4,B4_N0,PIN_AD24,3.3-V LVTTL,,,,
SD_DAT[1],Bidir,PIN_AJ28,4,B4_N0,PIN_AJ28,3.3-V LVTTL,,,,
SD_DAT[0],Bidir,PIN_AH27,4,B4_N0,PIN_AH27,3.3-V LVTTL,,,,
SD_WP_N,Input,PIN_AJ27,4,B4_N0,PIN_AJ27,3.3-V LVTTL,,,,
SMA_CLKIN,Input,PIN_AK16,4,B4_N2,PIN_AK16,3.3-V LVTTL,,,,
SMA_CLKOUT,Output,PIN_AF25,4,B4_N0,PIN_AF25,3.3-V LVTTL,,,,
SSRAM0_CE_N,Output,PIN_AJ21,4,B4_N1,PIN_AJ21,3.3-V LVTTL,,,,
SSRAM1_CE_N,Output,PIN_AG23,4,B4_N1,PIN_AG23,3.3-V LVTTL,,,,
SSRAM_ADSC_N,Output,PIN_AK25,4,B4_N1,PIN_AK25,3.3-V LVTTL,,,,
SSRAM_ADSP_N,Output,PIN_AJ25,4,B4_N0,PIN_AJ25,3.3-V LVTTL,,,,
SSRAM_ADV_N,Output,PIN_AH26,4,B4_N0,PIN_AH26,3.3-V LVTTL,,,,
SSRAM_BE[3],Output,PIN_AF21,4,B4_N1,PIN_AF21,3.3-V LVTTL,,,,
SSRAM_BE[2],Output,PIN_AJ22,4,B4_N1,PIN_AJ22,3.3-V LVTTL,,,,
SSRAM_BE[1],Output,PIN_AK22,4,B4_N1,PIN_AK22,3.3-V LVTTL,,,,
SSRAM_BE[0],Output,PIN_AF22,4,B4_N1,PIN_AF22,3.3-V LVTTL,,,,
SSRAM_CLK,Output,PIN_AF24,4,B4_N0,PIN_AF24,3.3-V LVTTL,,,,
SSRAM_GW_N,Output,PIN_AK23,4,B4_N1,PIN_AK23,3.3-V LVTTL,,,,
SSRAM_OE_N,Output,PIN_AG24,4,B4_N0,PIN_AG24,3.3-V LVTTL,,,,
SSRAM_WE_N,Output,PIN_AK24,4,B4_N1,PIN_AK24,3.3-V LVTTL,,,,
SW[17],Input,PIN_H25,6,B6_N0,PIN_H25,2.5 V,,,,
SW[16],Input,PIN_C30,6,B6_N0,PIN_C30,2.5 V,,,,
SW[15],Input,PIN_K25,6,B6_N1,PIN_K25,2.5 V,,,,
SW[14],Input,PIN_J26,6,B6_N1,PIN_J26,2.5 V,,,,
SW[13],Input,PIN_N25,6,B6_N2,PIN_N25,2.5 V,,,,
SW[12],Input,PIN_M26,6,B6_N2,PIN_M26,2.5 V,,,,
SW[11],Input,PIN_N26,6,B6_N2,PIN_N26,2.5 V,,,,
SW[10],Input,PIN_R26,6,B6_N2,PIN_R26,2.5 V,,,,
SW[9],Input,PIN_R29,6,B6_N2,PIN_R29,2.5 V,,,,
SW[8],Input,PIN_P30,6,B6_N2,PIN_P30,2.5 V,,,,
SW[7],Input,PIN_R30,6,B6_N2,PIN_R30,2.5 V,,,,
SW[6],Input,PIN_T28,6,B6_N2,PIN_T28,2.5 V,,,,
SW[5],Input,PIN_U21,5,B5_N1,PIN_U21,2.5 V,,,,
SW[4],Input,PIN_AB30,5,B5_N1,PIN_AB30,2.5 V,,,,
SW[3],Input,PIN_C2,8,B8_N2,PIN_C2,2.5 V,,,,
SW[2],Input,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,
SW[1],Input,PIN_U30,5,B5_N0,PIN_U30,2.5 V,,,,
SW[0],Input,PIN_V28,5,B5_N0,PIN_V28,2.5 V,,,,
TD_CLK27,Input,PIN_B15,7,B7_N2,PIN_B15,3.3-V LVTTL,,,,
TD_DATA[7],Input,PIN_K17,7,B7_N2,PIN_K17,3.3-V LVTTL,,,,
TD_DATA[6],Input,PIN_K18,7,B7_N2,PIN_K18,3.3-V LVTTL,,,,
TD_DATA[5],Input,PIN_G17,7,B7_N1,PIN_G17,3.3-V LVTTL,,,,
TD_DATA[4],Input,PIN_G18,7,B7_N2,PIN_G18,3.3-V LVTTL,,,,
TD_DATA[3],Input,PIN_B16,7,B7_N2,PIN_B16,3.3-V LVTTL,,,,
TD_DATA[2],Input,PIN_A16,7,B7_N2,PIN_A16,3.3-V LVTTL,,,,
TD_DATA[1],Input,PIN_D17,7,B7_N2,PIN_D17,3.3-V LVTTL,,,,
TD_DATA[0],Input,PIN_C17,7,B7_N2,PIN_C17,3.3-V LVTTL,,,,
TD_HS,Input,PIN_C28,7,B7_N0,PIN_C28,3.3-V LVTTL,,,,
TD_RESET_N,Output,PIN_E25,7,B7_N0,PIN_E25,3.3-V LVTTL,,,,
TD_VS,Input,PIN_E22,7,B7_N1,PIN_E22,3.3-V LVTTL,,,,
UART_CTS,Input,PIN_D26,7,B7_N0,PIN_D26,3.3-V LVTTL,,,,
UART_RTS,Output,PIN_A29,7,B7_N0,PIN_A29,3.3-V LVTTL,,,,
UART_RXD,Input,PIN_B27,7,B7_N0,PIN_B27,3.3-V LVTTL,,,,
UART_TXD,Output,PIN_H24,7,B7_N0,PIN_H24,3.3-V LVTTL,,,,
VGA_B[7],Output,PIN_C22,7,B7_N1,PIN_C22,3.3-V LVTTL,,,,
VGA_B[6],Output,PIN_G25,7,B7_N0,PIN_G25,3.3-V LVTTL,,,,
VGA_B[5],Output,PIN_A23,7,B7_N1,PIN_A23,3.3-V LVTTL,,,,
VGA_B[4],Output,PIN_F24,7,B7_N0,PIN_F24,3.3-V LVTTL,,,,
VGA_B[3],Output,PIN_C23,7,B7_N1,PIN_C23,3.3-V LVTTL,,,,
VGA_B[2],Output,PIN_B25,7,B7_N1,PIN_B25,3.3-V LVTTL,,,,
VGA_B[1],Output,PIN_C24,7,B7_N1,PIN_C24,3.3-V LVTTL,,,,
VGA_B[0],Output,PIN_E24,7,B7_N0,PIN_E24,3.3-V LVTTL,,,,
VGA_BLANK_N,Output,PIN_F25,7,B7_N0,PIN_F25,3.3-V LVTTL,,,,
VGA_CLK,Output,PIN_D27,7,B7_N0,PIN_D27,3.3-V LVTTL,,,,
VGA_G[7],Output,PIN_B22,7,B7_N1,PIN_B22,3.3-V LVTTL,,,,
VGA_G[6],Output,PIN_A22,7,B7_N1,PIN_A22,3.3-V LVTTL,,,,
VGA_G[5],Output,PIN_F21,7,B7_N1,PIN_F21,3.3-V LVTTL,,,,
VGA_G[4],Output,PIN_A21,7,B7_N1,PIN_A21,3.3-V LVTTL,,,,
VGA_G[3],Output,PIN_K19,7,B7_N2,PIN_K19,3.3-V LVTTL,,,,
VGA_G[2],Output,PIN_A20,7,B7_N2,PIN_A20,3.3-V LVTTL,,,,
VGA_G[1],Output,PIN_C20,7,B7_N1,PIN_C20,3.3-V LVTTL,,,,
VGA_G[0],Output,PIN_D20,7,B7_N1,PIN_D20,3.3-V LVTTL,,,,
VGA_HS,Output,PIN_B24,7,B7_N1,PIN_B24,3.3-V LVTTL,,,,
VGA_R[7],Output,PIN_C19,7,B7_N2,PIN_C19,3.3-V LVTTL,,,,
VGA_R[6],Output,PIN_B19,7,B7_N2,PIN_B19,3.3-V LVTTL,,,,
VGA_R[5],Output,PIN_E19,7,B7_N1,PIN_E19,3.3-V LVTTL,,,,
VGA_R[4],Output,PIN_E18,7,B7_N1,PIN_E18,3.3-V LVTTL,,,,
VGA_R[3],Output,PIN_A18,7,B7_N2,PIN_A18,3.3-V LVTTL,,,,
VGA_R[2],Output,PIN_B18,7,B7_N2,PIN_B18,3.3-V LVTTL,,,,
VGA_R[1],Output,PIN_C18,7,B7_N2,PIN_C18,3.3-V LVTTL,,,,
VGA_R[0],Output,PIN_A17,7,B7_N2,PIN_A17,3.3-V LVTTL,,,,
VGA_SYNC_N,Output,PIN_AH20,4,B4_N1,PIN_AH20,3.3-V LVTTL,,,,
VGA_VS,Output,PIN_A24,7,B7_N1,PIN_A24,3.3-V LVTTL,,,,
altera_reserved_tck,Input,,,,PIN_F2,,,,,
altera_reserved_tdi,Input,,,,PIN_E2,,,,,
altera_reserved_tdo,Output,,,,PIN_F1,,,,,
altera_reserved_tms,Input,,,,PIN_E1,,,,,
PCIE_PERST_N,Unknown,PIN_A4,8,B8_N2,,2.5 V,,,,
PCIE_REFCLK_P,Unknown,PIN_V15,3A,B3_N0,,HCSL,,,,PCIE_REFCLK_P(n)
PCIE_REFCLK_P(n),Unknown,,3A,B3_N0,,HCSL,,,,PCIE_REFCLK_P
PCIE_RX_P[0],Unknown,PIN_AC2,QL0,,,1.5-V PCML,,,,PCIE_RX_P[0](n)
PCIE_RX_P[0](n),Unknown,,QL0,,,1.5-V PCML,,,,PCIE_RX_P[0]
PCIE_RX_P[1],Unknown,PIN_AA2,QL0,,,1.5-V PCML,,,,PCIE_RX_P[1](n)
PCIE_RX_P[1](n),Unknown,,QL0,,,1.5-V PCML,,,,PCIE_RX_P[1]
PCIE_TX_P[0],Unknown,PIN_AB4,QL0,,,1.5-V PCML,,,,PCIE_TX_P[0](n)
PCIE_TX_P[0](n),Unknown,,QL0,,,1.5-V PCML,,,,PCIE_TX_P[0]
PCIE_TX_P[1],Unknown,PIN_Y4,QL0,,,1.5-V PCML,,,,PCIE_TX_P[1](n)
PCIE_TX_P[1](n),Unknown,,QL0,,,1.5-V PCML,,,,PCIE_TX_P[1]
PCIE_WAKE_N,Unknown,PIN_C29,6,B6_N0,,2.5 V,,,,
